Lannister,"Tywin Lannister, The Great Lion",Tywin Lannister,4,The Rains of Castamere,"Once per game, at the start of any turn, choose 1 enemy Combat Unit:
That unit becomes Panicked, Vulnerable, Weakened, and it and any Attachments on it lose all Abilities until the end of the round.
*(Flip this card over to show its Ability has been used.)*",SIF209,30101
Lannister,"Pycelle, Grand Maester",Pycelle,3,Manipulation and Deception,"When Pycelle claims a zone on the Tactics Board, 1 enemy Combat Unit becomes Weakened.",SIF209,30102
Lannister,"The High Sparrow, Father of the Faithful",High Sparrow,C,Unwavering Conviction,"Influence *(When this unit claims a Tactics Zone, attach this card to a Combat Unit until the end of the round):*
While Inﬂuencing a unit, they gain +2 to Morale Test rolls.",SIF209,30103
Lannister,"Tyrion Lannister, The Imp",Tyrion Lannister,4,Tactical Mastermind,"Your Tactics Hand size is increased by +1.
*(You start the game with 4 cards and may draw up to 4 cards when re-flling your hand)*
Tyrion begins the game with 2 **Order tokens** on him.
When Tyrion activates, you may discard 1 Order token from him to force your opponent to reveal 2 Tactics cards from their hand *(or 1 if they only have 1)*. Discard 1 of those cards.",SIF001,30104
Lannister,"Cersei Lannister, Queen Regent",Cersei Lannister,4,No Confidence,"Influence *(When this unit claims a Tactics Zone, attach this card to a Combat Unit until the end of the round):*
While Inﬂuencing a unit, that unit suffers -2 to Morale Test rolls.",SIF001,30105
Lannister,"Joffrey Baratheon, Lord of The Seven Kingdoms",Joffrey Baratheon,4,Might Of The Iron Throne,"While Joffrey is on the Tactics Board, you count as controlling the [CROWN] zone *(opponents may still control this zone as well)*.
When Joffrey claims a zone on the Tactics Board, after that effect has been resolved, your opponent may have 1 of your Combat Units become Panicked.",SIF210,30106
Stark,"Catelyn Stark, Lady of Winterfell",Catelyn Stark,4,"""Family, Duty, Honor""","Influence *(When this unit claims a Tactics Zone, attach this card to a Combat Unit until the end of the round):*
When Catelyn Inﬂuences a unit, remove 1 Condition token from them.
While Inﬂuencing a unit, that unit always attacks using its highest Attack die value *(regardless of remaining ranks).*",SIF001,30201
Stark,"Sansa Stark, Little Bird",Sansa Stark,3,"""Repeating the Words""","Once per game *(anytime)*, search your Tactics Deck or discard pile for any 1 card and add it to your hand. Shufﬂe your Tactics Deck afterwards.
*(Flip this card over to show its Ability has been used.)*",SIF001,30202
Stark,"Howland Reed, Lord of the Crannogs",Howland Reed,C,"""Hunter's Guile""","Influence *(When this unit claims a Tactics Zone, attach this card to a Combat Unit until the end of the round):*
While Inﬂuencing a unit, that unit's attacks suffer -1 to Hit.",SIF109,30203
Stark,"Eddard Stark, Warden of the North",Eddard Stark,4,"""Bravery in the Face of Death""","Eddard begins the game with 3 **Order tokens** on him.
When a friendly unit passes a Morale Test or successfully Charges, you may remove 1 Order token from Eddard to restore up to 2 Wounds to that unit.
If that unit has only 1 remaining rank, restore D3+1 Wounds instead.",SIF109,30204
